SEQID,MSOA11CD,MSOA11NM,OBESE,TOTAL,IMDMSOA,RESTCAT
532,E02000558,Islington 005,79,310,41.28,1
533,E02000559,Islington 006,37,213,20.01666667,1
534,E02000560,Islington 007,26,120,26.625,2
535,E02000561,Islington 008,14,159,17.425,0
536,E02000562,Islington 009,49,181,23.78,1
537,E02000563,Islington 010,57,229,35.98,1
538,E02000564,Islington 011,59,219,28.27142857,2
539,E02000565,Islington 012,53,235,30.28,1
540,E02000566,Islington 013,39,176,19.58,2
541,E02000567,Islington 014,45,210,27.15,1
542,E02000568,Islington 015,74,275,32.26,1
543,E02000569,Islington 016,60,236,28.58333333,1
544,E02000570,Islington 017,27,139,16.14,1
545,E02000571,Islington 018,46,175,32.32,1
546,E02000572,Islington 019,76,270,35.9,1
547,E02000573,Islington 020,26,118,21.8,3
548,E02000574,Islington 021,22,107,25.7,3
549,E02000575,Islington 022,49,200,22.07142857,4
